Product_Family__c,Product_Sub_Family__c,External_ID__c,Name,Account.External_ID__c,Device_Status__c,PurchaseDate
Electronics,All-in-One,378b0763-540b-4d6c-b994-35c28064407c,Electronics - All-in-One - 8581,e83d725a-307e-4064-988c-5f14ef3cd787,Paused,2020-06-20
Electronics,Surveillance,c87ef4f4-c1d6-4a62-a382-0a751343b78f,Electronics - Surveillance - 22251,9151d926-1599-4a4b-bce7-5a7371f14932,Off,2018-12-03
Power Tools,Cordless,cf284b03-9f87-4d14-8f42-3a5476316059,Power Tools - Cordless - 2796,1ffd2ccd-e1f9-479f-9132-a602203753ec,Offline,2020-02-18
Power Tools,Drills,f28cf050-2a0a-40ff-9db5-0efaaad63553,Power Tools - Drills - 20140,80e0696a-dff4-451f-8d2c-019598438011,Off,2020-03-02
Electronics,All-in-One,8a22d9e7-2e6f-45cb-905d-97946bd6767d,Electronics - All-in-One - 10142,990035da-3bb2-4ffd-8ad2-c2fe5c32a25b,Offline,2018-10-05
Electronics,Surveillance,7824ef0b-9425-4c0d-ac37-fb0633e4d271,Electronics - Surveillance - 6031,a0f0b832-1f73-4139-af5c-2136b6ca2478,Online,2020-06-03
Electronics,All-in-One,7c73ed97-15d6-4392-a9c3-c60a69f70b8a,Electronics - All-in-One - 13929,ff9acf27-5a59-48c8-aa2e-6e5aec481242,Online,2020-01-09
Power Tools,Cordless,ae176d3a-a543-4a25-b04e-dbbecd2ff644,Power Tools - Cordless - 16128,edfacd38-794f-4659-8be3-563170d7aa2a,Paused,2020-05-09
Electronics,Surveillance,1f242a34-1300-4a27-9176-a6d0d4220447,Electronics - Surveillance - 12723,4936cdd0-6a6b-45e6-9107-1f06f0daabcb,Off,2019-03-15
Power Tools,Saws,8f6678e7-aed0-451e-8262-fffb0def6c23,Power Tools - Saws - 21228,84009545-2666-4942-97a8-e6afc182a2d5,Paused,2020-04-28
Power Tools,Accessories,1d413217-e95d-4b84-b157-5bcfedc002d6,Power Tools - Accessories - 12813,fef358c2-bd7c-4934-b1ff-c01c481159fd,Offline,2018-06-09
Electronics,Surveillance,654e770e-0557-45e9-a69f-5517e159ae1b,Electronics - Surveillance - 8547,b2e1a7ca-95c6-4cbd-8591-d4b435f2eee0,Off,2020-06-16
Electronics,All-in-One,3adb83e7-b79b-4d85-8db4-de184ee169f2,Electronics - All-in-One - 5636,5d4870fa-ab71-45ca-804f-c7d24733a5fd,Offline,2019-07-26
Electronics,All-in-One,d65687f1-fae4-42c5-8403-870810d4cb7b,Electronics - All-in-One - 939,a6a7e7e1-b409-47cb-bbbb-6c5bcb832523,Offline,2019-11-23
Electronics,Surveillance,0a3a9b89-cdc1-4888-9e7d-4ba39259c2e3,Electronics - Surveillance - 175,f87822e1-e0b3-4321-a359-5d43f5c83ff3,Off,2019-11-14
Power Tools,Cordless,dc010f3a-526e-4a9c-8760-26a6aa782e68,Power Tools - Cordless - 23001,9bc2d33f-73a6-48de-8a65-febf34e39db6,Offline,2020-05-27
Electronics,Surveillance,8019c609-5c4f-45c0-afb3-fb623e3a1ad4,Electronics - Surveillance - 13228,62b2da75-6bb6-40d9-a21e-e93f3be79e3b,Offline,2018-02-03
Power Tools,Drills,55d3277f-c5b4-4bb9-af36-4b7f06951043,Power Tools - Drills - 19404,6e134cf1-51af-45ef-821b-8410f1a7fbbe,Off,2018-04-06
Power Tools,Saws,1fcd80de-ce3d-43c1-a507-aa3172b4380b,Power Tools - Saws - 5420,40ae8eda-01cd-4ff6-b2b2-9fe8ed59cd76,Standby,2018-01-21
Power Tools,Cordless,3f8b1e4c-cdb2-4d13-b853-efdc7db7eb9d,Power Tools - Cordless - 21356,d6453e36-5e0c-4dbe-9435-005bcf9c843a,Off,2020-02-10
Power Tools,Saws,6e67ea30-bf03-489f-9ce1-d2d0edecb6da,Power Tools - Saws - 12656,316dea4f-7091-414d-ac25-234f0c13630e,Off,2019-01-16
Electronics,Surveillance,0130a1b0-6aff-4911-9959-9e8a0f605816,Electronics - Surveillance - 11110,b311877a-7549-445c-a6a4-6eb79fb67531,Standby,2018-10-05
Electronics,Other Hardware,cc2ad52a-438e-4bab-9dcf-3dc2ee5876f0,Electronics - Other Hardware - 13867,4e59a65a-d009-4dd2-b151-3007e0155757,Offline,2019-08-07
Electronics,Surveillance,5c4b793f-dfec-48a3-a8b9-ad64394a24b5,Electronics - Surveillance - 18918,f4501e8c-d8ce-4378-aba1-b9e80a1f8799,Standby,2019-05-12
