External_Id__c,Type,Reason,Priority,Origin,Subject,Description,Account.External_ID__c,Asset.External_ID__c,IsEscalated,Status,ClosedDate,CreatedDate
0eb75a8d-7c3e-4374-9381-cc844113e511,Electrical,Performance,Medium,Email,felis eu sapien,eget elit sodales scelerisque mauris,feddf386-4fcf-4b72-ad67-71a3909a0055,0d3d79aa-ec6b-4b63-975e-1470e4133627,FALSE,Closed,2019-09-22T00:00:00.000Z,2019-09-10T00:00:00.000Z
cd5aa5de-fa90-4bc7-824f-26624b8523ed,Mechanical,Billing,Low,ChatBot,sit amet justo morbi,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,99f336ca-cb6a-49d7-b667-957ab31b118b,2c070c31-1e46-40ce-9cd3-9ef04833048e,FALSE,Closed,2020-03-16T00:00:00.000Z,2020-03-12T00:00:00.000Z
86d86ba6-cbec-4c04-8dee-457cebe4478c,Mechanical,Installation,Low,Web,lacinia aenean sit,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,60f69ddb-3cdc-421d-b98c-25cf9d6115e4,a23389e1-74d3-4b75-9960-855fafd74442,FALSE,Closed,2020-05-16T00:00:00.000Z,2020-04-10T00:00:00.000Z
c647ad6c-ba0a-403a-8cca-0db0a49aebb4,Mechanical,Loyalty Scheme,Low,Social Media,elementum eu interdum,dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,6b4020c0-40da-4049-90fd-e100ea4fc7dc,e9319671-f2da-436e-a0d6-d56b0ff285b6,TRUE,Closed,2020-03-25T00:00:00.000Z,2020-02-20T00:00:00.000Z
f25d596f-bfa0-40bb-ab17-17c2d993e9ae,Electrical,Refund,Low,Web,nulla sed vel enim sit,felis sed lacus morbi sem mauris laoreet ut rhoncus,387a0298-0ebb-4980-9562-f2b37c07b42f,3f96a5d6-642b-4f88-995b-2bc2bceef6e9,FALSE,Closed,2019-02-08T00:00:00.000Z,2019-01-21T00:00:00.000Z
8513baf2-25ed-44a3-8448-1c7b610b7fb0,Electronic,Billing,Low,LiveAgent,quam sollicitudin vitae consectetuer,nisi at nibh in hac habitasse platea dictumst aliquam,b37012dd-4029-4b5c-9044-50196e8903d1,3046adc7-032d-4469-8e2b-495e4033e025,FALSE,Closed,2020-01-13T00:00:00.000Z,2019-12-24T00:00:00.000Z
3d2d4c97-898d-4191-b090-0bd8aed026c2,Electrical,Billing,Low,Web,venenatis tristique fusce congue diam,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,b2651d8d-ec01-4684-a18e-61a8c21af881,a4273f09-6f23-42b8-b519-40f83813ac85,FALSE,Closed,2019-06-05T00:00:00.000Z,2019-05-23T00:00:00.000Z
eef877a6-19fb-4ed8-b1f8-bccb222b05ba,Structural,Return,High,LiveAgent,neque libero convallis eget eleifend,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,d972d42d-9e33-445d-8cba-70a6f02d05db,378b0763-540b-4d6c-b994-35c28064407c,FALSE,Closed,2020-01-30T00:00:00.000Z,2020-01-01T00:00:00.000Z
dc0a95cb-9702-4f7a-8b51-dcf5dfc3ce48,Other,Billing,Medium,Email,volutpat dui maecenas tristique,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,ede70428-c05a-4541-95e8-9b29f7a10580,ebbdad22-9fe5-4cd6-aa4c-04747cbb362d,FALSE,Closed,2020-02-26T00:00:00.000Z,2020-02-23T00:00:00.000Z
93100b6a-2837-4f19-81fa-2699f7662d6d,Mechanical,Loyalty Scheme,High,Email,mauris ullamcorper purus,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,bbaaedd0-ff3b-4fb4-97cb-2cf83337f9a1,7d21f2e0-3a98-4201-8c39-927da4fffe61,FALSE,Closed,2019-02-19T00:00:00.000Z,2019-01-23T00:00:00.000Z
