External_Id__c,Type,Reason,Priority,Origin,Subject,Description,Account.External_ID__c,Asset.External_ID__c,CreatedDate,Status
e1d9e1b6-6688-48a0-b65c-6c01b80e78d3,Electrical,Loyalty Scheme,Low,LiveAgent,morbi quis tortor id nulla,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed,2cd82399-1b97-4ef5-a4e4-9b8c4d97b337,10684d6b-fd47-46ca-ab50-08478561e2dc,2020-06-22T05:50:28Z,New
592ea53d-343c-4b3a-938b-eb8d0ed91575,Mechanical,Address Change,Medium,Email,cras in purus eu magna,turpis a pede posuere nonummy integer non velit donec,b431fca7-577a-43d3-9a5c-faf36b740de8,24a26d03-f75f-42c2-8daf-07ec52695442,2020-05-27T17:44:20Z,New
e47a0872-0a97-4cf8-9210-79774911cefa,Electronic,Refund,Medium,LiveAgent,sem fusce consequat,ullamcorper purus sit amet nulla quisque arcu,653b440c-04ba-43cc-8f9d-d62184a7e0e6,20c6aaa6-b0e3-4194-9246-17aee346ab39,2020-06-09T08:45:24Z,Working
26a78412-5243-41f7-a4e2-995ec2f1c0c3,Other,Return,High,Email,porttitor pede justo eu massa,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,d912a002-2cec-40d7-8c9c-b1bf4315effc,ae489dbd-664d-429e-8848-251f5bb47b3c,2020-05-19T23:21:24Z,New
bd75b097-94e9-4b3b-9a25-461fae59924b,Other,Installation,Low,LiveAgent,congue etiam justo,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,54eae8ab-9b4a-4820-b3df-f23bba388bd4,1a8351be-3c69-45bc-9359-f13a5439a461,2020-05-22T05:02:09Z,New
5feb471e-e2fb-4ccc-900b-2cc11886aafd,Electronic,Breakdown,Medium,Email,in porttitor pede justo,dui vel sem sed sagittis,45014102-2eb9-4bab-9f19-b7f5437d77fd,6111d1a4-2573-409c-86f3-212df5f8609d,2020-06-17T19:14:44Z,New
e3b6d038-b678-4936-bf78-4b645c3e63f4,Electronic,Refund,Low,Web,tempus sit amet sem fusce,quam sapien varius ut blandit non interdum in ante vestibulum,edc19384-3164-487d-89f7-b45a41723136,38e6a75f-5666-42f3-9b50-30d8e5279a6b,2020-05-24T04:29:03Z,Working
393c4f4f-0c11-4fcd-b4ef-b3a138b18a6d,Electrical,Installation,Low,LiveAgent,nulla elit ac nulla sed,vivamus vestibulum sagittis sapien cum sociis,f5152922-5995-4485-a5d3-2192af465d16,69c91196-1004-469a-a65c-69ac40b7d43d,2020-06-18T21:13:16Z,New
ac10f13c-d4eb-4a45-b4c5-6f945f6d8cbf,Mechanical,Other,Low,Social Media,nec nisi volutpat eleifend,id mauris vulputate elementum nullam varius,4903ae4d-3755-4266-8f81-f90e91d4ab37,7d98a4a4-ab1a-4fb7-80a8-f31e88470057,2020-05-17T09:56:23Z,Working
88ef4569-bd82-4e3c-b8a8-41a0ba5c8715,Electrical,Installation,Medium,Email,proin leo odio porttitor,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,6cf1551c-a66b-4376-b7f3-c89fedcdbbc6,51f792fc-a4d4-43ad-82a6-c2b5eb1077ed,2020-05-30T11:38:31Z,New
